Area code,Area name,Year,GP_dist,activity,air_poll,alc,avoid_mort,can_screen,cancer,crime_pers,cvd,dementia,depres,diab,disability,drug,eating,env_noise,ey_dev,frailty,hle,house_afford,house_overcrowd,hyp_ten,in_eet,incare_child,inf_mort,kidney,ks4_dev,low_bw,low_pay,musculo,ow_obs,ow_obs_child,pharm_dist,pov_child,pupil_abs,resp,road_safety,road_traff,rough_sleep,self_harm,semh_child,smoke,sport_dist,srwb_anx,srwb_hap,srwb_sat,srwb_worth,sti_screen,suicide,teen_preg,training,trans_noise,unempl,vac,wp_safety
E06000026,Plymouth,2015,109.67550886385499,94.99142683703298,104.81424535497732,105.08129146020303,105.06443656921087,94.98055981006698,105.21341325551656,103.97808304825891,105.05756067092668,105.37365993733053,104.85969983454912,105.15320541159274,104.64876994554885,104.96032948339641,94.78319196232947,105.03424400579215,94.46804361431622,105.2259318162837,94.72912983057171,105.2477991524264,94.24672907807476,105.24901990332171,104.82252443362289,104.90243861030012,104.75841870078129,105.12514667159891,94.67251620397711,105.16255438271367,105.33167308750149,94.50200145210424,104.67714019191567,104.86412661461593,107.13791858229712,104.89899393116553,105.05202189202802,104.70224957584567,104.9357705572343,103.37993180101978,105.20836990994663,104.84595539087387,105.01431902576827,104.62168841169155,95.65781342616552,105.10524483509853,94.85281407822315,94.88754256507195,94.80804347321777,94.02060571146386,105.05573470510768,104.8718694252991,95.68371680002589,105.60112510168874,104.62445098017953,95.01285846420535,105.15739698865426
E06000026,Plymouth,2016,110.38492932877924,94.99142683703298,105.178730211336,105.06449833586822,105.06443656921087,94.95359094571276,105.11106836971119,103.76092047814394,104.9911023263053,105.39577817279785,104.77142212891565,105.08160100260848,104.56186814150685,104.90124509388107,94.78319196232947,104.97056614923872,94.56204709964398,105.14193034034976,94.72179396260942,105.22972513026566,94.24672907807476,105.23690772306246,104.82252443362289,104.89274480655719,105.53659933857742,105.19877545480779,94.8135985410212,104.86259676614638,105.16972183024136,94.20210179136284,104.67714019191567,105.0097760136966,106.904499650095,105.03294487749116,105.10207082231362,104.67679446014373,104.98154384647792,103.36612131728306,104.64871604461273,104.78261271892644,105.0379673180711,105.00550080753466,95.65781342616552,105.01286753261907,94.81691983595594,94.93080438304341,94.89774600260539,94.16963772382299,105.16253477668866,105.07188164111352,95.636758410836,105.60112510168874,104.71367923413366,95.04996974380968,105.18934338289444
E06000026,Plymouth,2017,110.38492932877924,94.89316401127876,105.35622760211692,105.09987954454098,105.06054735503882,94.9022742643199,105.0019004915188,103.15124358819547,104.99967759657902,105.39577817279785,104.70859627412223,105.13315617707715,104.64876994554885,105.02717523371277,94.7932840600075,104.91006004701536,94.7015995119808,105.2130943546029,94.74455226439828,105.28101979241927,94.24672907807476,105.27791270718468,104.00865070644383,104.91111386954202,105.26783289486062,105.28876618984087,94.83813459963756,104.9367000648724,104.96149878519265,93.94953057169938,104.6210638656821,104.73144075984442,106.904499650095,105.0866236025466,104.90603374441548,104.59436892061979,104.97950831458522,103.35173571213902,104.36217934186365,104.88788549040454,105.0463134977862,104.8700376090018,95.65781342616552,105.01887928536902,94.8965234206324,94.91630931647825,94.94015388771138,94.18178394214742,105.18789133283283,104.82428509078464,95.53344995461819,105.60112510168874,104.94027010667462,95.02017045699858,105.18702296574071
E06000026,Plymouth,2018,110.68598125593898,94.92383178399783,105.47094300523369,105.1007780887802,105.06201736513974,94.86687601103031,104.81767969706914,103.05561165987307,104.9439383397998,105.44001464373251,104.5871067490616,105.03577418085855,104.62945843353951,104.92994239323903,94.85854407463876,104.852424667847,94.8513827747476,105.17745316220439,94.75292920276237,105.24130177982651,94.24672907807476,105.21010871344494,104.07512739392618,104.88327041814273,105.19962462659089,105.35421399713765,94.85040262894573,104.96833937113104,105.07717825466415,93.48295651991762,104.60136579032383,104.7560733634721,107.37546903686723,105.10053695702689,104.82034329954328,104.41970211820264,105.03109217917176,103.34070110829707,104.4976067783059,104.9037718022948,105.01079661155661,105.02807800729013,95.65781342616552,104.9772166842115,94.86005063926059,94.8520009857865,94.79450566135687,94.17165028296337,105.15564785424554,104.87121571437635,95.51466659894223,105.60112510168874,104.9965092590357,95.01714812889286,105.25445128042118
E06000027,Torbay,2015,109.02029747341187,94.85889785575189,105.17317977904173,105.00681753128002,105.09562635367,94.9467709648409,104.75627276558592,104.06911432467882,104.57305790046114,104.55528522503937,105.15691180411888,104.90688624468687,104.61014692153017,104.90138384686915,94.99327004141942,105.56811857916568,94.59166480878555,104.96880095592259,94.82797545110861,105.12271264510848,94.39396468160271,104.4398726414986,104.94744760096825,104.68244948906643,104.69498895885853,104.60565470118071,94.93934584143004,104.94411938579228,104.44479715488656,94.50200145210424,105.17671384320994,104.85826179399702,107.13791858229712,104.91045757644521,104.49399040309535,104.47329487171449,104.95283759813822,104.14801355558507,103.85169899547523,104.35074340009702,104.78150262361112,105.02807800729013,95.4537305022581,105.15004928016145,94.8818762100639,94.85907237547296,94.9330414170849,94.42068681697576,104.91049187842034,104.91559824361869,95.33622472002058,105.07818047612011,104.86024685039493,94.91903278892973,105.11578010482694
E06000027,Torbay,2016,110.53413482142626,94.85889785575189,105.28647846342605,105.02187374039084,105.07735637847844,94.8551943742363,104.4697070853309,103.74200682924707,104.47015465717642,104.5110487541047,104.97081633200467,104.8266893066245,104.57152389751151,104.76344510594696,94.99327004141942,105.62229013679905,95.08110165177567,105.14928303632689,94.80792307731353,105.12953488946593,94.39396468160271,104.2359209958394,104.94744760096825,104.72609296154566,104.79350420075626,104.33568249608149,94.95774788539231,105.26769982808287,104.15174249889205,93.5885126125828,105.17671384320994,104.75000595109587,107.13791858229712,105.02428562355304,104.75634533156875,104.37641255713127,104.9704700718113,104.13985959696905,103.91060412484146,104.47220226522606,104.96213694968965,105.06194380692335,95.4537305022581,105.09893515417117,94.88919011521438,94.88754256507195,94.96159847764065,94.61638145639853,104.85525026954305,104.79957141231355,95.10143277407104,105.07818047612011,104.7607133888203,94.92316829611278,105.11150781436923
E06000027,Torbay,2017,110.38492932877924,94.879788452331,105.45696988896842,105.03936475322652,105.06443656921087,94.81367646996142,104.42194613862172,103.16333760674658,104.47229847474485,104.55528522503937,104.85306849871372,104.82096095390577,104.48462209346951,104.82370695608273,94.99803606234366,105.67899010082807,95.17549179204033,105.17651493838186,94.80559247251325,105.10588315732953,94.39396468160271,104.26033043358571,105.11556272833818,104.72153881512966,105.23185084946397,103.87345735704798,95.03442306856844,105.10250198242791,104.6375962706724,92.87461994167367,105.1097293983417,104.70308207083085,106.904499650095,105.05050191527494,104.62665759586487,104.25546253881807,104.98435679760281,104.13063408469306,103.71628128878962,104.58471106125297,104.97822363735129,105.27642720460038,95.4537305022581,104.97134358828623,94.82406029500578,94.78918427551267,94.87678149966267,94.66888959443881,104.76756654165156,104.79553350112917,95.41135814272444,105.07818047612011,105.18158110982591,94.98479958098449,105.08835698301934
E06000027,Torbay,2018,110.38492932877924,94.97827108343165,105.659580074815,105.03218425327319,105.04376441943216,94.76705341354037,104.24454833655909,103.07825934219288,104.47015465717642,104.55528522503937,104.70329284308075,104.79518336667142,104.17563790132019,105.02717523371277,94.9672679078584,105.7384660981017,95.05907049472569,105.31350287858304,94.80368890140895,105.1025552457579,94.39396468160271,104.35087989971518,104.91549555356337,104.65601820187538,105.17269415799365,103.73847125449836,94.96081489271936,104.9882650983831,103.6196169393231,91.73607456683207,105.29477601969104,104.70308207083085,106.904499650095,105.04608226748502,104.86537981380246,104.10320777594814,104.98410725185535,104.11044124065991,103.97843479668332,104.66641922045119,104.94731481355481,105.14096400606752,95.4537305022581,105.06771749109633,94.92605115889444,94.85907237547296,94.99044218132799,94.86263857441391,104.59480874272181,104.8888283482987,95.55223331029416,105.07818047612011,105.2851000806057,94.94859499154984,105.26961643919824
E06000030,Swindon,2015,107.95393498409557,94.87904858567244,104.98205859990216,105.06532330154084,105.08172663252122,94.70334859767573,105.43174901190133,103.25859358778804,105.4520231035181,105.57272405653649,105.11428905167878,104.89256536289002,104.9191311136795,105.00281245547961,94.79696539835903,104.80249308421912,94.82774714194105,104.99000882980688,94.82230814367088,105.30712680597613,94.52574835462617,105.28030919783076,104.97991929610056,105.08940793982309,105.33922873299551,105.65281961792921,94.72772233586393,104.93025337114301,105.5167602386559,94.94554516137448,104.3855657687869,104.9337650217908,105.3752252243813,105.06838948683001,105.12378429362396,105.03412082708681,105.1465677971084,104.41268312640058,104.55849493192264,104.52514021450153,104.99095568386514,104.84746040924632,95.52013161927748,104.98902125053861,94.81691983595594,94.84494801116692,94.85597581794946,94.51743323454451,105.18056296873601,105.04809268125071,95.1765661967749,105.32046840362699,104.9965092590357,95.08959777973166,105.23219887600595
E06000030,Swindon,2016,109.40739018091126,94.87904858567244,104.82922764075064,105.04856943009624,105.09020196265085,94.73528498443494,105.39763404996621,102.84742060206285,105.42415347512849,105.63907876293847,105.01848489230416,104.81236842482765,105.21845954982416,105.00391512024939,94.79696539835903,104.78933934229592,94.92448412866896,105.32592740908763,94.81945970946903,105.1921925596441,94.52574835462617,105.261088841238,104.97991929610056,105.02333024647812,105.3285847818301,105.57919083472034,94.90560876083255,104.98797481137497,105.63243970812741,94.13694314319007,104.3855657687869,105.05001158543122,105.3752252243813,105.20964428210264,105.19642321194912,104.9917283244838,105.11607843924945,104.41124634872723,104.0759368627532,104.56914403179557,105.01431902576827,105.26513860472265,95.52013161927748,105.03703716395964,94.78854917590311,94.90908974192499,94.81483850267956,94.51683795449276,105.20518887650597,105.0959760166642,95.55223331029416,105.32046840362699,105.14883767196493,95.04300051968963,105.31413998255884
E06000030,Swindon,2017,109.40739018091126,94.90375574598227,104.99075298335612,105.04134120337095,105.10445834413713,94.74785273807845,105.31575814132192,103.09937148296444,105.37913330619142,105.59484229200382,104.93309814846106,104.75794907399961,105.08327896575884,104.85672708217392,94.74662157367041,104.7763264785971,95.00552617669443,105.04779189133994,94.81662312654899,105.10922360343761,94.52574835462617,105.22475230046025,105.22430096340553,104.97154620930056,105.1548650489491,105.48101912377516,94.85346963627278,104.97105860530877,105.5398961325502,94.11553351564136,104.91496631725224,104.75755149865607,105.3752252243813,105.20438352706228,105.03494468685034,104.9964616780098,105.1990731580885,104.38686383888995,103.56129966007893,104.4198793036647,104.98226582246677,104.99421220765693,95.52013161927748,105.16960139211379,94.91124833505401,94.8803972750258,94.83532835358275,94.59435698422071,105.324617084303,105.13706109934186,94.72576566055179,105.32046840362699,105.05530559802047,95.02458769055134,105.29289005164846
E06000030,Swindon,2018,109.40739018091126,95.00574653221935,104.95632477744694,105.01796846627708,105.10903833517577,94.71271536927557,105.08377640016309,103.4848081927274,105.26122333992768,105.55060582106915,104.84268993235953,104.68634466501534,104.82257355363284,104.7031832558112,94.8292112476689,104.76345150742472,95.09570796619101,104.84246401898687,94.81388885001961,105.11257667886159,94.52574835462617,105.04491950400276,105.3007850694281,104.92969048912607,105.26993994567343,105.40739034056628,94.91787679014072,105.04126694901178,105.5167602386559,93.85024631259294,104.95348846049521,104.77383885362045,105.3752252243813,105.23101207622369,104.99708301312326,104.90554148514396,105.19426035684128,104.38067108899213,103.84679342239573,104.3164410961386,105.00085094580554,104.94905780814597,95.4537305022581,105.13713268015695,94.86005063926059,94.82389933761739,94.87678149966267,94.51249120493308,105.32101506621758,105.16308227628997,94.70698230487582,105.32046840362699,105.21517512102474,94.90917935923993,105.31413998255884
E06000031,Peterborough,2015,106.7114158595462,94.74128703782428,105.09679341012486,105.07003403737065,105.04554643378208,94.52661765170578,105.64326177589909,103.01647639553696,105.61709705628734,105.57272405653649,105.2360663595809,105.07587264988973,105.2377710618335,104.94987957231852,94.77112045782283,105.12793357486476,94.36396768273835,105.13416660749535,94.80120093034742,105.2582949837191,94.28427647471493,105.74118262956463,104.59250141226593,104.91731122284347,105.03489724672676,105.92688231098448,94.64184613070667,105.05013869290711,105.23141754729284,95.74601343661755,105.02406210056931,105.06497462822176,103.63478669855643,104.71785889169257,104.85773434851956,105.57459134319468,105.04852805229547,104.95570314500397,104.6311382913896,104.62200195190195,105.06191124846336,104.90390340863502,95.08513115365221,105.0615390343013,94.8312199230617,94.77542581162301,94.81483850267956,94.56717989626189,105.2581298275613,104.69347650962615,94.93238257298738,105.36980461037265,104.80952283096974,94.93014975562787,105.22976167797566
E06000031,Peterborough,2016,108.29487122104085,94.74128703782428,104.95397651763012,105.08846738730458,105.05472978499586,94.54366862401864,105.5886778368029,102.35770814965043,105.60637796844517,105.48425111466717,105.17469359432322,105.03291000449919,105.0639674537495,105.0771304313145,94.77112045782283,105.28820757689422,94.48693268511272,104.96229132599373,94.82526694778878,105.22082439354891,94.28427647471493,105.74118262956463,104.59250141226593,104.90829859166983,105.01801369364566,105.96369670258892,94.7123872992287,104.90049847077921,104.91522699740403,95.46599372301756,105.02406210056931,104.80167913661606,103.63478669855643,104.78396566343353,105.05329905213249,105.57855166884441,105.03296990696965,104.92129103546108,104.27721639456477,104.89350066302379,105.07399760355594,104.96034640802371,95.08513115365221,105.03703716395964,94.93348185108603,94.8099585237499,94.7810373631393,94.32618211910139,105.05754363764999,104.63447929915066,94.60367384865803,105.36980461037265,104.96808401120835,94.8586151859536,105.05166889167198
E06000031,Peterborough,2017,108.29487122104085,94.71587139034938,105.04786809609045,105.10722986745316,105.0499132945545,94.56105688898822,105.60232382157695,101.8546371419564,105.64711050224537,105.59484229200382,105.126210151515,104.992811535468,104.81291779762817,105.01541300586535,94.85681151382636,105.4728830023058,94.50539591752485,104.96958083683091,94.7743446636023,105.17400557798337,94.28427647471493,105.75943522252226,104.43377693992866,104.92389148694878,104.81318762323748,105.95551572667682,94.70625328457461,105.01135832177023,104.80725949256396,95.70955189962031,105.0561645884281,104.57443673777536,103.63478669855643,104.78737823279236,104.98995366048531,105.70223612904832,105.08993766334125,104.86543558378958,103.85956633933765,104.85796622666659,105.06432233319435,104.96034640802371,95.08513115365221,105.15654285018712,94.8312199230617,94.78918427551267,94.81483850267956,94.52343696446432,104.99604314763398,104.94424232398993,94.7163739827138,105.36980461037265,104.86024685039493,94.76728833001073,105.09670872500698
E06000031,Peterborough,2018,108.29487122104085,94.7334632981849,104.980564252746,105.12223167543027,105.05446769016595,94.54771945936533,105.38398806519217,102.21290897272029,105.54420725896065,105.41789640826518,105.06841185653269,104.88683701017128,104.45565482545551,105.06417697038515,94.56494777226712,105.69074786574757,94.76207697911656,104.8704537439548,94.75603715514505,105.13411238294741,94.28427647471493,105.71868363852968,104.51184419265914,104.91880298464581,104.49584861360091,105.95551572667682,94.7461243798262,104.89188195322278,104.73785181088105,95.36736062528873,104.48987842355254,105.04256625145341,103.63478669855643,104.80808347796946,104.92218894496979,105.6372642898204,105.13758909250501,104.86233185633654,103.94490368829075,104.97620285564533,105.14380139090501,104.74586301034668,95.08513115365221,105.13713268015695,94.91863999544901,94.82389933761739,94.84219329927654,94.26355516752807,104.96867646575875,104.84659807108781,94.91359921731141,105.36980461037265,104.88637494537399,94.68712536956404,105.1179237220373
E06000032,Luton,2015,110.68598125593898,94.73441691397838,105.03676723150193,105.07361826668655,105.037225745309,94.46417091704693,105.86159753228388,103.46649491248634,105.73071938741421,105.86026111761176,105.3472537665924,104.76654160307773,105.05431169774484,104.85020430700108,94.6244929469288,105.03705414433485,94.32215014792979,105.44106111277492,94.78996007947943,105.09703632693312,93.73719736137153,105.6793287822143,104.91549555356337,104.92322219994188,104.57855821331779,105.89415840733609,94.72158832120984,104.84290131935742,105.40108076918439,95.56797094557339,104.81310869531477,104.68797256952992,107.86356829234198,104.65849058551305,105.14144584328778,105.67186882501318,104.86517473333554,103.18788196824455,103.34622335630026,105.28966409688617,105.0922742988413,105.16354120582301,95.65781342616552,105.11793160040466,94.84559678897466,94.77542581162301,94.82848092049602,94.3699671243542,105.3267516776892,104.94677665578344,94.42523196973639,104.9833645719306,104.80952283096974,94.77569893820156,105.15739698865426
E06000032,Luton,2016,110.99798289687999,94.73441691397838,104.8245893424348,105.0624689418077,105.02983347516098,94.44399917168005,105.82065957796172,103.27152035120194,105.73071938741421,105.86026111761176,105.28060429664139,104.73217148676528,104.88050808966084,104.92019668186147,94.6244929469288,105.02600466359904,94.67189673877647,105.40067965948495,94.78423448424041,104.98940291282588,93.73719736137153,105.68141565768488,104.91549555356337,104.95920364254431,104.48977633361025,105.90233938324819,94.73385635051801,104.76700732491906,105.02319450224411,95.17929689242044,104.81310869531477,104.44702153262462,107.86356829234198,104.72107196768297,104.78812212468853,105.66038589973165,104.84599901660411,103.14414084408232,102.96043638113038,105.22979427817525,105.12937700176005,105.1070982064343,95.65781342616552,105.09264772966017,94.86730649778272,94.82389933761739,94.84907577994343,94.42314730010224,105.20284971605118,104.97389274777608,94.18104834594887,104.9833645719306,104.69078842923936,94.691185627098,105.18009805009778
E06000032,Luton,2017,110.99798289687999,94.68237635765954,104.71181464991044,105.06622593265067,105.03884871458753,94.42621942602202,105.7865446160266,102.99203628406691,105.72428793470891,105.88237935307909,105.22913924864181,104.64624619598416,105.07362320975417,104.8399506815834,94.56003674020262,105.01505476294747,94.88224031915122,105.24781967723773,94.79949270718751,105.02216241093285,93.73719736137153,105.66257150947575,104.88403897678235,104.98609329751014,104.43263615847586,105.90233938324819,94.75532540180734,104.7770051756608,105.28540129971287,95.00230231637454,104.91922375258352,104.23567773382327,107.86356829234198,104.72107196768297,104.8264631708384,105.70223612904832,104.85505341123925,103.07432521557195,102.80482164398721,105.2195200867576,105.10517551895651,105.33287020398907,95.65781342616552,105.09893515417117,94.90387615201371,94.8803972750258,94.84907577994343,94.6584977479779,105.25287656200025,105.23759701658727,94.24679009081474,104.9833645719306,104.80952283096974,94.56413104266169,105.2033958924739
